학번, 패스워드, 이름, 생년월일, 전화번호, 메일, 학과, 학년, 성적, 메모
2000974769,unomjobpdtudupdl,김하람,19890517,01003508790,ctizzeqsr@knu.ac.kr,미디어커뮤니케이션학과,3,1.94,-
2003260827,skqljgvyqwzooeaj,최하연,19930612,01090556600,qoqyfxlrl@knu.ac.kr,수의예과,4,1.75,-
2014949155,yurwnkhllxvjfyvw,강승준,19950219,01033354303,rcnhbjlgg@knu.ac.kr,경제통상학부,4,3.52,-
2008177115,zwkfinsuwqqerqrs,조은서,20050822,01029311633,yznokibbh@knu.ac.kr,통계학과,2,0.52,-
2000185992,rrefrpakdisdfsum,윤준우,19891110,01066583306,uzkdkrpgk@knu.ac.kr,영어교육과,4,1.68,-
2001769395,igoajuiyuzvgtyqh,이지윤,19880702,01076669110,dyybuwevt@knu.ac.kr,식품공학부,1,4.13,-
2020092265,jegfkqgnrqwjdidu,김수빈,19851009,01080152078,ulqgpnvso@knu.ac.kr,가정교육과,3,3.00,-
2013322696,nwtsqtkyfykdgahv,정소연,19840803,01026189712,dkfwficwz@knu.ac.kr,농업토목ㆍ생물산업공학부,2,0.66,-
2019432773,xuqfqovuqhxhwaiq,윤유하,19920705,01073693434,eamktaqvq@knu.ac.kr,식물의학과,4,1.67,-
2024021183,xaytxwwoybetwwxh,이다은,19960424,01047571747,jnpkagrry@knu.ac.kr,철학과,4,0.82,-
2021921846,tlfahyzpgbbgelxt,김윤우,19850612,01018509114,wrxqbuorp@knu.ac.kr,고분자공학과,3,2.16,-
2005476857,bnjufycfjbsytmqj,장수호,19881123,01016031437,apsmzjttk@knu.ac.kr,신소재공학부,1,0.87,-
2017088890,apndxntzdqqlkjzp,정연우,20040903,01005763404,sfvhzswia@knu.ac.kr,기계공학부,1,2.76,-
2020881962,sfnvsndbdkmczoet,김이든,20010522,01043195149,fcqbmjtbf@knu.ac.kr,지구시스템과학부,1,3.65,-
2001513940,rxfbmcildmiudpub,김지유,19930518,01029032951,vrpvrshgn@knu.ac.kr,스마트모빌리티공학과,4,2.89,-
2004993717,xruujcfuylfooufy,조지오,19810218,01032446717,euowfauhx@knu.ac.kr,물리학과,2,2.66,-
2015208305,igjfssdiqhoknkza,김수빈,20040204,01067374189,pdmtyoici@knu.ac.kr,수학과,3,2.40,-
2002496468,vtweeofbctlwugiu,이예린,19901108,01041746791,kszdcggrz@knu.ac.kr,전기공학과,1,2.35,-
2021401665,umcehpwbdywqhxfu,이윤재,19840606,01077249106,kzkndsvse@knu.ac.kr,역사교육과,3,1.36,-
2017543054,bkqtyqnjqryvdems,김서우,19951213,01048772391,psuermtox@knu.ac.kr,고고인류학과,3,1.05,-
2018789692,wtuxbcffuobxrsbi,김재윤,19800115,01077710899,bnetyggjy@knu.ac.kr,기계공학부,4,0.95,-
